subj,prompt,excluded_subj,excluded_subj_rep,excluded_response,response,prompt_set,prompt_val_set,prompt_val,prompt_stage,positivity_gpt,negativity_gpt,positivity_HK,negativity_HK,positivity_KSM,negativity_KSM,concrete_gpt,abstract_gpt,concrete_KG,abstract_KG,concrete_HK,abstract_HK,word_counts,brysbaert_sum,brysbaert_mean,brysbaert_sd
1,N1a,0,0,0,People are sitting down and on their phones.,1,N1,N,a,0,0,0,0,0,0,8,0,4,0,4,0,8,27.86,3.4825,1.295980048
1,N1b,0,0,0,Three people are sitting down using their phones. One person is lost in thought.,1,N1,N,b,0,0,0,3,0,2,8,4,6,4,5,3,14,49.77,3.555,1.006201922
1,N1c,0,0,0,A man is tired while his three friends sit down and look at their phones.,1,N1,N,c,1,3,0,6,1,4,7,2,7,3,6,4,15,51.08,3.405333333,1.144595167
1,N2a,0,0,0,Students are gossiping about someone else.,2,N2,N,a,2,5,0,3,0,6,3,2,4,3,4,2,6,16.88,2.813333333,1.318615435
1,N2b,0,0,0,Students are gossiping about the girl in front of them.,2,N2,N,b,1,5,0,6,0,7,4,3,5,3,6,4,10,29.3,2.93,1.279044782
1,N2c,0,0,0,"A group of people are gossip about a woman, who seems upset about it.",2,N2,N,c,2,6,0,8,0,8,4,4,5,6,7,6,14,38.57,2.755,1.084171076
1,P1a,0,0,0,Four people are having a discussion.,1,P1,P,a,0,0,0,0,1,0,3,0,4,0,3,1,6,18.44,3.073333333,1.01245576
1,P1b,0,0,0,"Four people are sitting around each other, having a discussion.",1,P1,P,b,0,0,0,0,2,0,7,0,6,0,5,2,10,29.27,2.927,1.119940971
1,P1c,0,0,0,Three people are giving their sympathy to another man.,1,P1,P,c,3,2,4,0,5,1,3,2,5,5,6,5,9,27.27,3.03,1.196808255
1,N3a,0,0,0,People are laughing at a joke.,3,N3,N,a,7,0,4,0,6,0,7,1,2,0,2,3,6,15.86,3.172,1.02774997
1,N3b,0,0,0,"People are sitting at a table, laughing at someone.",3,N3,N,b,2,3,0,5,0,6,7,2,5,3,4,4,9,28.44,3.555,1.202247895
1,N3c,0,0,0,People are making fun of a girl at a table.,3,N3,N,c,1,7,0,9,0,8,7,2,6,5,5,6,10,29.31,3.256666667,1.301047655
1,N4a,0,0,0,Two people are talking.,4,N4,N,a,0,0,0,0,0,0,3,0,4,0,5,0,4,14.82,3.705,1.268870889
1,N4b,0,0,0,Two people are arguing.,4,N4,N,b,2,6,0,5,0,5,6,0,5,3,5,2,4,13.5,3.375,1.31317681
1,N4c,0,0,0,A man is telling a woman no.,4,N4,N,c,0,5,0,4,0,4,6,1,6,3,6,1,7,25.03,3.575714286,0.84832889
1,P2a,0,0,0,Three older people are having Thanksgiving turkey.,2,P2,P,a,1,0,2,0,5,0,7,0,7,2,7,0,7,23.31,3.33,1.178615006
1,P2b,0,0,0,Three older people are together for Thanksgiving.,2,P2,P,b,5,0,2,0,5,0,3,0,7,2,6,0,7,20.61,2.944285714,1.06265167
1,P2c,0,0,0,"A woman is putting a turkey down on the table, with her guests.",2,P2,P,c,2,0,3,0,5,0,8,1,9,3,8,0,13,41.71,3.475833333,1.047650691
1,N5a,0,0,0,A man is bored while his friends are on their phones.,5,N5,N,a,1,5,0,4,0,3,4,5,6,3,5,4,11,35.65,3.240909091,1.029674264
1,N5b,0,0,0,Someone is bored while their friends are on their phones.,5,N5,N,b,1,3,0,4,0,3,3,4,6,3,4,4,10,31.86,3.186,0.954977603
1,N5c,0,0,0,"A girl is sitting there bored, while her friends are on their phones.",5,N5,N,c,1,5,0,5,0,3,7,6,7,3,5,4,13,42.91,3.300769231,1.084861447
1,N6a,0,0,0,Three men are sitting down on a couch.,6,N6,N,a,0,0,0,0,0,0,9,0,7,0,7,0,8,29.79,3.72375,1.019803027
1,N6b,0,0,0,"Three men are sitting on a couch, one is taking a selfie, the other is lost in thought.",6,N6,N,b,0,0,0,1,0,3,8,4,8,3,7,2,18,55.54,3.267058824,1.031429619
1,N6c,0,0,0,Two men are on their phones while their friend is bored.,6,N6,N,c,1,3,0,4,0,3,7,2,6,2,5,4,11,37.12,3.374545455,1.05371119
1,N7a,0,0,0,Two people are talking.,7,N7,N,a,0,0,0,0,1,0,3,0,4,0,5,0,4,14.82,3.705,1.268870889
1,N7b,0,0,0,Two people are arguing.,7,N7,N,b,1,6,0,5,0,5,6,1,5,3,5,2,4,13.5,3.375,1.31317681
1,N7c,0,0,0,There is two women arguing with each other.,7,N7,N,c,1,5,0,6,0,6,8,1,6,3,6,2,8,23.59,2.94875,1.064551381
1,P3a,0,0,0,A woman is giving a presentation or speech.,3,P3,P,a,0,0,1,0,1,0,4,0,7,2,6,0,8,25.92,3.24,0.799732098
