subj,prompt,excluded_subj,excluded_subj_rep,excluded_response,response,prompt_val,prompt_set,prompt_val_set,prompt_stage,concrete_gpt,abstract_gpt,negativity_gpt,positivity_gpt,word_counts,brysbaert_sum,brysbaert_mean,brysbaert_sd
34,N1a,0,0,0,"Four friends are hanging out, drinking coffee, and on their phones. One man doesn't seem to want to be involved, though.",N,1,N1,a,8,4,2,3,21,54.44,2.865263158,1.278759679
34,N1b,0,0,0,"People are hanging out but on their phones, and the guy on the left misses the old days, of real communication amongst people.",N,1,N1,b,3,6,4,2,23,62.7,2.85,1.141511112
34,N1c,0,0,0,The man on the left is bored of his technology addicted friends.,N,1,N1,c,3,7,4,2,12,34.24,2.853333333,0.99620492
34,N2a,0,0,0,Friends at school are gossiping about a woman behind her back.,N,2,N2,a,3,2,7,1,11,35.07,3.188181818,1.035044136
34,N2b,0,0,0,"They are all looking at her, gossiping about her with her right there, and she wonders if they know she can hear them.",N,2,N2,b,3,7,7,1,23,60.61,2.635217391,0.819999277
34,N2c,0,0,0,"This teacher has some snobby students, who like to address her, behind her back, but she hears them and is stern and doesn't care.",N,2,N2,c,2,6,5,2,24,63.01,2.864090909,1.045004712
34,P1a,0,0,0,"It looks like someone is receiving some bad news, unfortunately.",P,1,P1,a,3,3,6,1,10,26.58,2.658,0.783053851
34,P1b,0,0,0,"The man on the far right has been given some bad news, and everyone is trying to support him.",P,1,P1,b,2,6,4,3,19,47.24,2.624444444,0.953508828
34,P1c,0,0,0,"The man on the right seems to have a problem, and his friends are being supportive.",P,1,P1,c,3,6,2,6,16,39.07,2.441875,0.947130535
34,N3a,0,0,0,"People are having a meeting at work, and someone made a hilarious joke.",N,3,N3,a,3,2,0,8,13,36.99,2.845384615,0.868347236
34,N3b,0,0,0,"People at work are sharing a great laugh, but someone on the right doesn't seem like they are interested in participating. ",N,3,N3,b,6,4,2,5,21,54.06,2.703,0.930772741
34,N3c,0,0,0,"People at work are laughing and pointing at a coworker, and she is ignoring them by utilizing her phone. Shes probably watching something uplifting, because her work environment is miserable.",N,3,N3,c,6,6,7,2,30,87.48,2.916,1.082944899
34,N4a,0,0,0,"Two people are discussing an important topic, with one male and one female. The male is mansplaining the female, using hand gestures to explain himself. ",N,4,N4,a,6,3,6,1,25,73.92,3.08,1.237982229
34,N4b,0,0,0,"Two individuals are having an intense debate, with the male holding his hands up, in petition of whats transpiring. ",N,4,N4,b,7,4,3,2,19,54.75,2.881578947,1.065015718
34,N4c,0,0,0,A worker on the right is visually upset with his boss on the right. Maybe he got some terrible feedback and is upset.,N,4,N4,c,3,5,7,1,23,64.32,2.796521739,0.919800417
34,P2a,0,0,0,"Three older people are enjoying a turkey together, probably on Thanksgiving.",P,2,P2,a,7,4,0,8,11,34.39,3.126363636,1.02755314
34,P2b,0,0,0,"The turkey is done, and the lady in the middle is amazed at her meal. But Joe on the left, also happy about the turkey, is glaring at it, probably going to ask her if its been cooked to an internal temperature of 185F.",P,2,P2,b,7,7,1,7,44,121.6,2.702222222,1.084491688
